cusip,stock_name,value_x1000,shares,portfolio_weight
67066G104,NVIDIA CORPORATION,1426385069.0,7644898.0,18.81
30303M102,META PLATFORMS INC,1370307549.0,1865938.0,18.07
594918104,MICROSOFT CORP,601905552.0,1162092.0,7.94
90353T100,UBER TECHNOLOGIES INC,547533952.0,5588792.0,7.22
833445109,SNOWFLAKE INC,547722012.0,2428384.0,7.22
023135106,AMAZON COM INC,475912266.0,2167474.0,6.28
770700102,ROBINHOOD MKTS INC,371820563.0,2596875.0,4.9
22266T109,COUPANG INC,322791605.0,10024584.0,4.26
874039100,TAIWAN SEMICONDUCTOR MFG LTD,298470799.0,1068677.0,3.94
11135F101,BROADCOM INC,245709050.0,744776.0,3.24
20717M103,CONFLUENT INC,223379502.0,11281793.0,2.95
722304102,PDD HOLDINGS INC,181294946.0,1371680.0,2.39
01609W102,ALIBABA GROUP HLDG LTD,173207243.0,969100.0,2.28
98954M200,ZILLOW GROUP INC,168540788.0,2187421.0,2.22
042068205,ARM HOLDINGS PLC,155375687.0,1098139.0,2.05
871607107,SYNOPSYS INC,127432770.0,258280.0,1.68
565394103,MAPLEBEAR INC,122225199.0,3324951.0,1.61
58733R102,MERCADOLIBRE INC,88432147.0,37841.0,1.17
02079K305,ALPHABET INC,76122389.0,313132.0,1.0
36866J105,GEMINI SPACE STA INC,38336000.0,1600000.0,0.51
70339W104,PATTERN GROUP INC,9883591.0,721430.0,0.13
64119N608,NETSKOPE INC,7387250.0,325000.0,0.1
G0370L116,GRAB HOLDINGS LIMITED,1763607.0,3502000.0,0.02
