cusip,stock_name,value_x1000,shares,portfolio_weight
01609W102,ALIBABA GROUP HLDG LTD,1152808500.0,6450000.0,15.61
023135106,AMAZON COM INC,548925000.0,2500000.0,7.43
963320106,WHIRLPOOL CORP,432300000.0,5500000.0,5.85
67066G104,NVIDIA CORPORATION,354502000.0,1900000.0,4.8
02079K107,ALPHABET INC,337925625.0,1387500.0,4.58
500767306,KRANESHARES TRUST,310874000.0,7400000.0,4.21
629377508,NRG ENERGY INC,302846500.0,1870000.0,4.1
874039100,TAIWAN SEMICONDUCTOR MFG LTD,296047400.0,1060000.0,4.01
30303M102,META PLATFORMS INC,271720600.0,370000.0,3.68
92840M102,VISTRA CORP,243920400.0,1245000.0,3.3
594918104,MICROSOFT CORP,239551875.0,462500.0,3.24
722304102,PDD HOLDINGS INC,237906000.0,1800000.0,3.22
90353T100,UBER TECHNOLOGIES INC,235812125.0,2406983.0,3.19
47215P106,JD.COM INC,217750500.0,6225000.0,2.95
747525103,QUALCOMM INC,207118200.0,1245000.0,2.81
007903107,ADVANCED MICRO DEVICES INC,153700500.0,950000.0,2.08
056752108,BAIDU INC,137699650.0,1045000.0,1.86
D18190898,DEUTSCHE BANK A G,134203900.0,3790000.0,1.82
219350105,CORNING INC,133298750.0,1625000.0,1.81
55087P104,LYFT INC,123256000.0,5600000.0,1.67
337738108,FISERV INC,119260250.0,925000.0,1.62
02376R102,AMERICAN AIRLS GROUP INC,103970000.0,9250000.0,1.41
502431109,L3HARRIS TECHNOLOGIES INC,91623000.0,300000.0,1.24
29273V100,ENERGY TRANSFER L P,85066153.0,4957235.0,1.15
75513E101,RTX CORPORATION,85254635.0,509500.0,1.15
595112103,MICRON TECHNOLOGY INC,83660000.0,500000.0,1.13
91324P102,UNITEDHEALTH GROUP INC,70268550.0,203500.0,0.95
89832Q109,TRUIST FINL CORP,63436500.0,1387500.0,0.86
N07059210,ASML HOLDING N V,61957760.0,64000.0,0.84
12769G100,CAESARS ENTERTAINMENT INC NE,56752500.0,2100000.0,0.77
46266C105,IQVIA HLDGS INC,54132900.0,285000.0,0.73
512807306,LAM RESEARCH CORP,49543000.0,370000.0,0.67
464287184,ISHARES TR,45665400.0,1110000.0,0.62
910047109,UNITED AIRLS HLDGS INC,44631250.0,462500.0,0.6
382550101,GOODYEAR TIRE & RUBR CO,38447200.0,5140000.0,0.52
493267108,KEYCORP,37753800.0,2020000.0,0.51
174610105,CITIZENS FINL GROUP INC,31896000.0,600000.0,0.43
200340107,COMERICA INC,31690500.0,462500.0,0.43
247361702,DELTA AIR LINES INC DEL,26246875.0,462500.0,0.36
852234103,BLOCK INC,26739900.0,370000.0,0.36
55336V100,MPLX LP,26723250.0,535000.0,0.36
690742101,OWENS CORNING NEW,22845790.0,161500.0,0.31
608190104,MOHAWK INDS INC,20820580.0,161500.0,0.28
957638109,WESTERN ALLIANCE BANCORP,16910400.0,195000.0,0.23
989701107,ZIONS BANCORPORATION N A,16125300.0,285000.0,0.22
