cusip,stock_name,value_x1000,shares,portfolio_weight
76131D103,RESTAURANT BRANDS INTL INC,529337.0,8252862.0,11.05
02079K107,ALPHABET INC,452550.0,1858138.0,9.45
036752103,ELEVANCE HEALTH INC FORMERLY,426195.0,1319000.0,8.9
G25508105,CRH PLC,405669.0,3383395.0,8.47
G96629103,WILLIS TOWERS WATSON PLC LTD,376218.0,1089065.0,7.85
907818108,UNION PAC CORP,353658.0,1496204.0,7.38
95082P105,WESCO INTL INC,317923.0,1503180.0,6.64
256677105,DOLLAR GEN CORP NEW,275622.0,2666876.0,5.75
31488V107,FERGUSON ENTERPRISES INC,259502.0,1155500.0,5.42
G61188127,LIBERTY GLOBAL LTD,254479.0,21657803.0,5.31
31620M106,FIDELITY NATL INFORMATION SV,249894.0,3789711.0,5.22
26969P108,EAGLE MATLS INC,218978.0,939660.0,4.57
372460105,GENUINE PARTS CO,193347.0,1395000.0,4.04
36165L108,GDS HLDGS LTD,125773.0,3249952.0,2.63
337738108,FISERV INC,115392.0,895000.0,2.41
G4412G101,HERBALIFE LTD,65493.0,7759844.0,1.37
G61188101,LIBERTY GLOBAL LTD,58180.0,5076762.0,1.21
03064D108,AMERICOLD REALTY TRUST INC,44064.0,3600000.0,0.92
G68707101,PAGSEGURO DIGITAL LTD,25000.0,2500000.0,0.52
87507T101,TAMBORAN RES CORP,15629.0,570833.0,0.33
42703MAF0,HERBALIFE LTD,15833.0,17129000.0,0.33
12685JAG0,CABLE ONE INC,12068.0,14100000.0,0.25
