cusip,stock_name,value_x1000,shares,portfolio_weight
037833100,APPLE INC,60656116097.0,238212764.0,22.69
025816109,AMERICAN EXPRESS CO,50359010112.0,151610700.0,18.84
060505104,BANK AMER CORP,29306731919.0,568070012.0,10.96
191216100,COCA COLA CO,26528000000.0,400000000.0,9.92
166764100,CHEVRON CORP NEW,18955441549.0,122064792.0,7.09
674599105,OCCIDENTAL PETE CORP,12518482615.0,264941431.0,4.68
615369105,MOODYS CORP,11754655821.0,24669778.0,4.4
H1467J104,CHUBB LIMITED,8843709614.0,31332895.0,3.31
500754106,KRAFT HEINZ CO,8479530661.0,325634818.0,3.17
02079K305,ALPHABET INC,4338397121.0,17846142.0,1.62
23918K108,DAVITA INC,4273176132.0,32160579.0,1.6
501044101,KROGER CO,3370500001.0,50000000.0,1.26
829933100,SIRIUS XM HOLDINGS INC,2904885649.0,124807117.0,1.09
92826C839,VISA INC,2832586895.0,8297460.0,1.06
92343E102,VERISIGN INC,2513300752.0,8989880.0,0.94
57636Q104,MASTERCARD INC,2267645249.0,3986648.0,0.85
023135106,AMAZON COM INC,2195700000.0,10000000.0,0.82
21036P108,CONSTELLATION BRANDS INC,1804578000.0,13400000.0,0.68
91324P102,UNITEDHEALTH GROUP INC,1740161449.0,5039564.0,0.65
14040H105,CAPITAL ONE FINL CORP,1519947000.0,7150000.0,0.57
G0403H108,AON PLC,1461978000.0,4100000.0,0.55
25754A201,DOMINOS PIZZA INC,1287335476.0,2981945.0,0.48
02005N100,ALLY FINL INC,1136800000.0,29000000.0,0.43
531229722,LIBERTY MEDIA CORP DEL,1058685587.0,10917661.0,0.4
73278L105,POOL CORP,1072496472.0,3458885.0,0.4
526057104,LENNAR CORP,888701738.0,7050950.0,0.33
670346105,NUCOR CORP,867801447.0,6407749.0,0.32
546347105,LOUISIANA PAC CORP,503260211.0,5664793.0,0.19
531229748,LIBERTY MEDIA CORP DEL,470235248.0,4986588.0,0.18
531229854,LIBERTY MEDIA CORP DEL,315288070.0,3018555.0,0.12
422806208,HEICO CORP NEW,328947963.0,1294612.0,0.12
16119P108,CHARTER COMMUNICATIONS INC N,291853943.0,1060882.0,0.11
512816109,LAMAR ADVERTISING CO NEW,147162306.0,1202110.0,0.06
G0176J109,ALLEGION PLC,138356588.0,780133.0,0.05
62944T105,NVR INC,89281142.0,11112.0,0.03
526057302,LENNAR CORP,21715790.0,180980.0,0.01
25243Q205,DIAGEO P L C,21734183.0,227750.0,0.01
G9001E102,LIBERTY LATIN AMERICA LTD,21809266.0,2630792.0,0.01
47233W109,JEFFERIES FINL GROUP INC,28363364.0,433558.0,0.01
047726302,ATLANTA BRAVES HLDGS INC,9301396.0,223645.0,0.0
G9001E128,LIBERTY LATIN AMERICA LTD,10837129.0,1284020.0,0.0
