cusip,stock_name,value_x1000,shares,portfolio_weight
632307104,Natera Inc,533540.0,3314532.0,13.13
457669307,Insmed Inc,348999.0,2423435.0,8.59
881624209,Teva Pharmaceutical Inds Ltd,335197.0,16593935.0,8.25
874039100,Taiwan Semiconductor Mfg Ltd,213681.0,765085.0,5.26
980745103,Woodward Inc,159969.0,633015.0,3.94
22266T109,Coupang Inc,149187.0,4633124.0,3.67
58733R102,Mercadolibre Inc,136346.0,58344.0,3.36
256163106,Docusign Inc,121540.0,1685950.0,2.99
925050106,Verona Pharma Plc,106932.0,1002080.0,2.63
464287234,Ishares Tr,101460.0,1900000.0,2.5
023135106,Amazon Com Inc,95967.0,437070.0,2.36
77543R102,Roku Inc,82350.0,822435.0,2.03
349381103,Figure Technology Solutio,76989.0,2116825.0,1.9
76131D103,Restaurant Brands Intl Inc,72566.0,1131365.0,1.79
86384P109,Stubhub Hldgs Inc,71730.0,4259516.0,1.77
929740108,Wabtec,60624.0,302410.0,1.49
78462F103,Spdr S&P 500 Etf Tr,59956.0,90000.0,1.48
30303M102,Meta Platforms Inc,55886.0,76100.0,1.38
464287655,Ishares Tr,54683.0,226000.0,1.35
N62509109,Newamsterdam Pharma Company,54710.0,1923700.0,1.35
144285103,Carpenter Technology Corp,54027.0,220035.0,1.33
172967424,Citigroup Inc,52257.0,514850.0,1.29
060505104,Bank America Corp,51035.0,989250.0,1.26
90138F102,Twilio Inc,51326.0,512800.0,1.26
81141R100,Sea Ltd,49008.0,274200.0,1.21
26884L109,Eqt Corp,48712.0,894950.0,1.2
36828A101,Ge Vernova Inc,47544.0,77320.0,1.17
G25508105,Crh Plc,47219.0,393820.0,1.16
92840M102,Vistra Corp,45842.0,233985.0,1.13
91332U101,Unity Software Inc,35335.0,882500.0,0.87
526057104,Lennar Corp,35219.0,279424.0,0.87
23331A109,D R Horton Inc,34767.0,205150.0,0.86
185899101,Cleveland-Cliffs Inc New,33123.0,2715035.0,0.82
G0896C103,Bbb Foods Inc,31897.0,1183125.0,0.79
74623V103,Purecycle Technologies Inc,30286.0,2303084.0,0.75
531229755,Liberty Media Corp Del,30123.0,288400.0,0.74
234264109,Daktronics Inc,30061.0,1436936.0,0.74
G3643J108,Flutter Entmt Plc,29272.0,115245.0,0.72
253393102,Dicks Sporting Goods Inc,29427.0,132425.0,0.72
78464A797,Spdr Series Trust,28646.0,482095.0,0.71
68404L201,Option Care Health Inc,27141.0,977685.0,0.67
00835Q202,Aeva Technologies Inc,26670.0,1839314.0,0.66
02079K305,Alphabet Inc,24845.0,102200.0,0.61
69331C108,Pg&E Corp,24871.0,1649300.0,0.61
042068205,Arm Holdings Plc,23756.0,167900.0,0.58
G6683N103,Nu Hldgs Ltd,23281.0,1454180.0,0.57
816850101,Semtech Corp,21543.0,301515.0,0.53
G7997R103,Seagate Technology Hldngs Pl,20278.0,85900.0,0.5
372460105,Genuine Parts Co,19984.0,144185.0,0.49
29337E102,Enliven Therapeutics Inc,19393.0,947405.0,0.48
737446104,Post Hldgs Inc,18959.0,176400.0,0.47
87165B103,Synchrony Financial,18603.0,261825.0,0.46
80004C200,Sandisk Corp,18652.0,166235.0,0.46
37950E259,Global X Fds,17722.0,254045.0,0.44
19240Q201,Cogent Biosciences Inc,15216.0,1059580.0,0.37
74366E102,Protagonist Therapeutics Inc,10609.0,159700.0,0.26
14040H105,Capital One Finl Corp,9337.0,43920.0,0.23
169656105,Chipotle Mexican Grill Inc,9139.0,233205.0,0.22
83418M103,Solaris Energy Infras Inc,5820.0,145600.0,0.14
60937P106,Mongodb Inc,5497.0,17710.0,0.14
882681109,Texas Roadhouse Inc,4951.0,29800.0,0.12
278768106,Echostar Corp,4640.0,60765.0,0.11
984245100,Ypf Sociedad Anonima,2786.0,114695.0,0.07
16935C109,Chime Finl Inc,872.0,43230.0,0.02
