cusip,stock_name,value_x1000,shares,portfolio_weight
03831W108,APPLOVIN CORP,2240766990.0,3118500.0,34.52
443201108,HOWMET AEROSPACE INC,1033052835.0,5264500.0,15.91
303250104,FAIR ISAAC CORP,486192666.0,324880.0,7.49
02079K305,ALPHABET INC,433568850.0,1783500.0,6.68
92826C839,VISA INC,279293219.0,818130.0,4.3
81141R100,SEA LTD,235923600.0,1320000.0,3.63
023135106,AMAZON COM INC,214761417.0,978100.0,3.31
337738108,FISERV INC,204354050.0,1585000.0,3.15
594918104,MICROSOFT CORP,181127115.0,349700.0,2.79
30303M102,META PLATFORMS INC,177499646.0,241700.0,2.73
16411R208,CHENIERE ENERGY INC,164415506.0,699700.0,2.53
45866F104,INTERCONTINENTAL EXCHANGE IN,137193264.0,814300.0,2.11
294429105,EQUIFAX INC,115438500.0,450000.0,1.78
74935Q107,RB GLOBAL INC,113127840.0,1044000.0,1.74
22160N109,COSTAR GROUP INC,108196088.0,1282400.0,1.67
743315103,PROGRESSIVE CORP,97248910.0,393800.0,1.5
43300A203,HILTON WORLDWIDE HLDGS INC,88728480.0,342000.0,1.37
79466L302,SALESFORCE INC,55837200.0,235600.0,0.86
892672106,TRADEWEB MKTS INC,51272760.0,462000.0,0.79
78351F107,RYAN SPECIALTY HOLDINGS INC,34435960.0,611000.0,0.53
115236101,BROWN & BROWN INC,23635080.0,252000.0,0.36
147528103,CASEYS GEN STORES INC,15263640.0,27000.0,0.24
64107A113,NET POWER INC,361800.0,482400.0,0.01
