cusip,stock_name,value_x1000,shares,portfolio_weight
90353T100,UBER TECHNOLOGIES INC,2965602648.0,30270518.0,20.25
11271J107,BROOKFIELD CORP,2813167442.0,41020231.0,19.21
44267T102,HOWARD HUGHES HOLDINGS INC,1549074099.0,18852064.0,10.58
02079K107,ALPHABET INC,1540217750.0,6324031.0,10.52
76131D103,RESTAURANT BRANDS INTL INC,1469799913.0,22915496.0,10.04
023135106,AMAZON COM INC,1278625494.0,5823316.0,8.73
02079K305,ALPHABET INC,1177569836.0,4843973.0,8.04
169656105,CHIPOTLE MEXICAN GRILL INC,844198727.0,21541177.0,5.77
43300A203,HILTON WORLDWIDE HLDGS INC,786253156.0,3030578.0,5.37
812215200,SEAPORT ENTMT GROUP INC,115145038.0,5023780.0,0.79
42806J700,HERTZ GLOBAL HLDGS INC,103639664.0,15241127.0,0.71
