cusip,stock_name,value_x1000,shares,portfolio_weight
67066G104,NVIDIA Corp,17182712.0,92093.0,9.27
30303M102,Meta Platforms Inc,15770076.0,21474.0,8.51
92840M102,Vistra Corp,15364830.0,78424.0,8.29
83444M101,Solventum Corp,14984053.0,205261.0,8.09
023135106,Amazon.Com Inc,12293944.0,55991.0,6.64
349381103,Figure Technology Solutions Inc,10911000.0,300000.0,5.89
92840M102,Vertiv Holdings Co,10809421.0,71652.0,5.83
81725T100,Sensient Technologies Corp,9808264.0,104510.0,5.29
717051076,Bausch Lomb Corp,9806230.0,650712.0,5.29
097023105,Boeing Co,9280690.0,43000.0,5.01
53626N102,Lionsgate Studios Corp,9142058.0,1324936.0,4.93
11135F101,Broadcom Inc,8649250.0,26217.0,4.67
092244102,Black Rock Coffee Bar Inc,7635200.0,320000.0,4.12
75134P600,Ramaco Resources Inc,7393238.0,222755.0,3.99
82452J109,Shift4 Payments Inc,6633412.0,85703.0,3.58
03831W108,Applovin Corp,4311240.0,6000.0,2.33
594918104,Microsoft Corp,2376873.0,4589.0,1.28
91332U101,Unity Software Inc,2017976.0,50399.0,1.09
57636Q104,MasterCard Inc,1763311.0,3100.0,0.95
144285103,Carpenter Technology Corp,1573175.0,6407.0,0.85
399909100,Grupo Financiero Galicia SA,1515800.0,55000.0,0.82
235851102,Danaher Corp,1110256.0,5600.0,0.6
81762P102,SeviceNow Inc,1104336.0,1200.0,0.6
49338L103,Keysight Technologies Inc,638458.0,3650.0,0.34
46266C105,IQVIA Holdings Inc,634779.0,3342.0,0.34
464287184,iShares China Large-Cap ETF,617100.0,15000.0,0.33
883556102,Thermo Fisher Scientific Inc,582024.0,1200.0,0.31
855244109,Starbucks Corp,541440.0,6400.0,0.29
40415F101,HDFC Bank Ltd,444080.0,13000.0,0.24
47103N106,Janus International Group Inc,389302.0,39443.0,0.21
