cusip,stock_name,value_x1000,shares,portfolio_weight
053774105,AVIS BUDGET GROUP,2798963877.0,17430882.0,30.48
64110L106,NETFLIX INC,1820504869.0,1518454.0,19.82
67066G104,NVIDIA CORPORATION,597733471.0,3203631.0,6.51
876030107,TAPESTRY INC,571308007.0,5045999.0,6.22
30303M102,META PLATFORMS INC,546011530.0,743500.0,5.95
72703H101,PLANET FITNESS INC,484271945.0,4665433.0,5.27
722304102,PDD HOLDINGS INC,350831255.0,2654394.0,3.82
15101Q207,CELESTICA INC,338135856.0,1372416.0,3.68
122017106,BURLINGTON STORES INC,293621742.0,1153720.0,3.2
910047109,UNITED AIRLS HLDGS INC,279957405.0,2901113.0,3.05
874039100,TAIWAN SEMICONDUCTOR MFG LTD,221437590.0,792859.0,2.41
007903107,ADVANCED MICRO DEVICES INC,186285814.0,1151405.0,2.03
60937P106,MONGODB INC,167520466.0,539727.0,1.82
L8681T102,SPOTIFY TECHNOLOGY S A,102682082.0,147109.0,1.12
126650100,CVS HEALTH CORP,91771644.0,1217292.0,1.0
437076102,HOME DEPOT INC,73056567.0,180302.0,0.8
89677Q107,TRIP COM GROUP LTD,56865112.0,756185.0,0.62
036752103,ELEVANCE HEALTH INC FORMERLY,47490886.0,146976.0,0.52
548661107,LOWES COS INC,31787699.0,126488.0,0.35
20030N101,COMCAST CORP NEW,30467942.0,969699.0,0.33
247361702,DELTA AIR LINES INC DEL,27789056.0,489675.0,0.3
016255101,ALIGN TECHNOLOGY INC,18326448.0,146354.0,0.2
978097103,WOLVERINE WORLD WIDE INC,13843425.0,504498.0,0.15
143130102,CARMAX INC,13918674.0,310200.0,0.15
M5216V106,GLOBAL E ONLINE LTD,10568833.0,295549.0,0.12
15135B101,CENTENE CORP DEL,4488115.0,125788.0,0.05
536797103,LITHIA MTRS INC,2750780.0,8705.0,0.03
142152107,CARIS LIFE SCIENCES INC,1512500.0,50000.0,0.02
