cusip,stock_name,value_x1000,shares,portfolio_weight
69331C108,PG&E CORP,755508000.0,50100000.0,8.4
023135106,AMAZON COM INC,616991700.0,2810000.0,6.86
78462F103,SPDR S&P 500 ETF TR,582907500.0,875000.0,6.48
594918104,MICROSOFT CORP,569745000.0,1100000.0,6.34
67066G104,NVIDIA CORPORATION,531753000.0,2850000.0,5.92
655844108,NORFOLK SOUTHN CORP,495676500.0,1650000.0,5.51
11271J107,BROOKFIELD CORP,320611500.0,4675000.0,3.57
874039100,TAIWAN SEMICONDUCTOR MFG LTD,307219000.0,1100000.0,3.42
14040H105,CAPITAL ONE FINL CORP,294423300.0,1385000.0,3.28
G3643J108,FLUTTER ENTMT PLC,284480000.0,1120000.0,3.16
147528103,CASEYS GEN STORES INC,282660000.0,500000.0,3.14
879433829,TELEPHONE & DATA SYS INC,263193432.0,6707274.0,2.93
G25508105,CRH PLC,259583500.0,2165000.0,2.89
22160N109,COSTAR GROUP INC,254544290.0,3017000.0,2.83
88023U101,SOMNIGROUP INTERNATIONAL INC,252990000.0,3000000.0,2.81
538034109,LIVE NATION ENTERTAINMENT IN,220590000.0,1350000.0,2.45
144285103,CARPENTER TECHNOLOGY CORP,208709000.0,850000.0,2.32
907818108,UNION PAC CORP,206823750.0,875000.0,2.3
50212V100,LPL FINL HLDGS INC,197665435.0,594143.0,2.2
62482R107,MR COOPER GROUP INC,194980750.0,925000.0,2.17
G8068L108,SHARKNINJA INC,185670000.0,1800000.0,2.07
92840M102,VISTRA CORP,183185200.0,935000.0,2.04
49177J102,KENVUE INC,170415000.0,10500000.0,1.9
199908104,COMFORT SYS USA INC,165036000.0,200000.0,1.84
30303M102,META PLATFORMS INC,161563600.0,220000.0,1.8
576323109,MASTEC INC,154287250.0,725000.0,1.72
87422Q109,TALEN ENERGY CORP,148883000.0,350000.0,1.66
46982L108,JACOBS SOLUTIONS INC,137121900.0,915000.0,1.53
741623102,PRIMO BRANDS CORPORATION,127627500.0,5775000.0,1.42
339750101,FLOOR & DECOR HLDGS INC,98021000.0,1330000.0,1.09
03769M106,APOLLO GLOBAL MGMT INC,86625500.0,650000.0,0.96
77311W101,ROCKET COS INC,77520000.0,4000000.0,0.86
03769M304,APOLLO GLOBAL MGMT INC,63252000.0,900000.0,0.7
21874A106,CORE SCIENTIFIC INC NEW,53820000.0,3000000.0,0.6
092667104,STRATA CRITICAL MEDICAL INC,25300000.0,5000000.0,0.28
42806J148,HERTZ GLOBAL HLDGS INC,14768400.0,3970000.0,0.16
69331CAL2,PG&E CORP,10112827.0,10000000.0,0.11
235851102,DANAHER CORPORATION,9913000.0,50000.0,0.11
69331C306,PG&E CORP,5513200.0,140000.0,0.06
343928107,FLYEXCLUSIVE INC,5048680.0,1022000.0,0.06
051774107,AURORA INNOVATION INC,2173719.0,1032463.0,0.02
203668108,COMMUNITY HEALTH SYS INC NEW,481500.0,150000.0,0.01
071734107,BAUSCH HEALTH COS INC,645000.0,100000.0,0.01
051774115,AURORA INNOVATION INC,877000.0,1835000.0,0.01
343928115,FLYEXCLUSIVE INC,116681.0,367499.0,0.0
